idx,wall_us,exit_code
11,838478,0
68,861252,0
82,897758,0
29,1093289,0
7,1122537,0
88,1059897,0
65,1237715,0
42,1272279,0
28,1323210,0
59,1358152,0
5,1378888,0
14,1426972,0
89,1390340,0
63,1501311,0
26,1520700,0
13,1524998,0
35,1565391,0
76,1564197,0
86,1572437,0
50,1608133,0
70,1596425,0
39,1643646,0
96,1569743,0
98,1686290,0
6,1952003,0
1,1951172,0
43,1935678,0
23,1949594,0
99,1855876,0
4,1984778,0
94,1900252,0
53,1989924,0
79,1974233,0
58,2004282,0
78,2013131,0
97,1962168,0
46,2062153,0
27,2077091,0
31,2076294,0
16,2084939,0
21,2088403,0
92,2000700,0
8,2094412,0
84,2063380,0
56,2070228,0
66,2081427,0
2,2098158,0
91,1997584,0
93,1981207,0
62,2100473,0
12,2114882,0
71,2108581,0
25,2146184,0
67,2137838,0
17,2156057,0
95,2078189,0
18,2171369,0
80,2115690,0
74,2162931,0
20,2191529,0
48,2227082,0
83,2210302,0
61,2306725,0
41,2315331,0
51,2318950,0
49,2314768,0
36,2324099,0
45,2324769,0
100,2250138,0
30,2342179,0
9,2351545,0
19,2349859,0
60,2339233,0
73,2332682,0
85,2322030,0
40,2349161,0
77,2346673,0
72,2367344,0
69,2364209,0
81,2349846,0
33,2384958,0
54,2382498,0
22,2392191,0
3,2404311,0
90,2303447,0
24,2399067,0
34,2406426,0
15,2416360,0
75,2386687,0
47,2416372,0
10,2428981,0
38,2405096,0
64,2417348,0
32,2421403,0
37,2428921,0
87,2394931,0
55,2430071,0
57,2430281,0
44,2438025,0
52,2432794,0
