elapsed_s,rss_kb,open_fds
0,12696,12
60,12732,11
120,12716,12
180,12736,11
240,12748,11
300,12768,13
360,12768,11
420,12764,12
481,7300,12
541,7304,13
601,7312,11
661,7304,11
721,7308,11
781,7300,13
841,7308,13
901,7312,11
961,7284,13
1021,7304,13
1081,7300,11
1142,7308,11
1202,7308,12
1262,7304,13
1322,7304,11
1382,7304,11
1442,7296,11
1502,7304,13
1562,7312,12
1622,7304,11
1682,7316,13
1742,7308,11
1802,7304,13
1862,7308,13
1922,7312,11
1983,7316,11
2043,7308,11
2103,7304,13
2163,7304,11
2223,7300,13
2283,7292,13
2343,7300,11
2403,7312,11
2463,7292,11
2523,7312,13
2583,7308,13
2643,7308,11
2703,7308,13
2764,7284,11
2824,7308,13
2884,7312,11
2944,7304,11
